,County,Passenger Miles,County_Name,State_FIPS,County_Code,County_FIPS,ZIP_Code,File_Date,Three Digit County Code
0,Albany,"58,947,626 4,999,950 ",Albany,36,1,36001,12007,7/25/2007,001
1,Allegany,0 ,Allegany,36,3,36003,14024,7/25/2007,003
2,Broome,"7,297,643 ",Broome,36,7,36007,13730,7/25/2007,007
3,Cattaraugus,0 ,Cattaraugus,36,9,36009,14009,7/25/2007,009
4,Chemung,0 ,Chemung,36,15,36015,14805,7/25/2007,015
5,Chenango,0 0 ,Chenango,36,17,36017,13040,7/25/2007,017
6,Clinton,0 ,Clinton,36,19,36019,12901,7/25/2007,019
7,Columbia,0 0 ,Columbia,36,21,36021,12017,7/25/2007,021
8,Cortland,0 ,Cortland,36,23,36023,13040,7/25/2007,023
9,Dutchess,"2,933,439 0 ",Dutchess,36,27,36027,10516,7/25/2007,027
10,Erie,"78,051,594 ",Erie,36,29,36029,14001,7/25/2007,029
11,Essex,0 ,Essex,36,31,36031,12836,7/25/2007,031
12,Franklin,0 0 ,Franklin,36,33,36033,12912,7/25/2007,033
13,Fulton,0 0 ,Fulton,36,35,36035,12010,7/25/2007,035
14,Genesee,0 ,Genesee,36,37,36037,14001,7/25/2007,037
15,Greene,0 ,Greene,36,39,36039,12015,7/25/2007,039
16,Herkimer,0 ,Herkimer,36,43,36043,13304,7/25/2007,043
17,Jefferson,0 ,Jefferson,36,45,36045,13083,7/25/2007,045
18,Kings,"17,464,177 4,893,198 ",Kings,36,47,36047,11201,7/25/2007,047
19,Lewis,0 ,Lewis,36,49,36049,13305,7/25/2007,049
20,Monroe,"53,131,680 0 ",Monroe,36,55,36055,14410,7/25/2007,055
21,Montgomery,0 0 ,Montgomery,36,57,36057,12010,7/25/2007,057
22,Nassau,"150,113,199 482,109 ",Nassau,36,59,36059,11001,7/25/2007,059
23,New York,"1,553,770,171 158,465,369 54,624,590 2,522,415,696 123,750 369,132,750 4,479,822 ",New York,36,61,36061,10001,7/25/2007,061
24,Niagara,0 ,Niagara,36,63,36063,14001,7/25/2007,063
25,Oneida,0 ,Oneida,36,65,36065,13032,7/25/2007,065
26,Onondaga,"40,108,345 0 0 ",Onondaga,36,67,36067,13020,7/25/2007,067
27,Orange,0 0 0 0 0 0 0 0 ,Orange,36,71,36071,10910,7/25/2007,071
28,Orleans,0 ,Orleans,36,73,36073,14058,7/25/2007,073
29,Oswego,0 ,Oswego,36,75,36075,13028,7/25/2007,075
30,Otsego,0 0 0 ,Otsego,36,77,36077,12036,7/25/2007,077
31,Putnam,"1,063,314 ",Putnam,36,79,36079,10509,7/25/2007,079
32,Queens,"2,154,354,158 ",Queens,36,81,36081,11001,7/25/2007,081
33,Rensselaer,0 ,Rensselaer,36,83,36083,12018,7/25/2007,083
34,Rockland,"18,985,669 25,284,803 0 0 0 ",Rockland,36,87,36087,10901,7/25/2007,087
35,Saratoga,0 ,Saratoga,36,91,36091,12010,7/25/2007,091
36,Schoharie,0 0 ,Schoharie,36,95,36095,12023,7/25/2007,095
37,Schuyler,0 ,Schuyler,36,97,36097,14805,7/25/2007,097
38,St. Lawrence,0 ,St. Lawrence,36,89,36089,12914,7/25/2007,089
39,Steuben,0 ,Steuben,36,101,36101,14418,7/25/2007,101
40,Suffolk,"32,954,728 76,263,570 644,489 ",Suffolk,36,103,36103,501,7/25/2007,103
41,Sullivan,0 ,Sullivan,36,105,36105,10940,7/25/2007,105
42,Tompkins,"10,179,113 ",Tompkins,36,109,36109,13045,7/25/2007,109
43,Ulster,"41,597,934 4,108,254 0 ",Ulster,36,111,36111,12401,7/25/2007,111
44,Warren,0 ,Warren,36,113,36113,12801,7/25/2007,113
45,Wayne,0 ,Wayne,36,117,36117,13143,7/25/2007,117
46,Westchester,"143,792,577 ",Westchester,36,119,36119,10470,7/25/2007,119
47,Wyoming,0 ,Wyoming,36,121,36121,14004,7/25/2007,121
